ID,Site,Number,LT Notes,Tip angle PDLP/AW,Tip length (>25%) AW,Tip angle AW,AW notes,Member,Layer,Layer number,Relative stratigraphy,Raw materials,Raw materials 2,Tip damage,Knapping modality,Pseudollevallois Y or N,Number of scars,Orientation of the tip,Length,Width,New strat
95,Sibudu,671,,81,y,y,,NA,BL/Mi,16,3,,,N,,,,,,,
96,Sibudu,672,,73,n,y,,NA,BL/Mi,16,3,,,N,,,,,,,
97,Sibudu,673,,47,n,y,,NA,BSP,14,1,,,N,,,,,,,
98,Sibudu,674,,87,n,y,,NA,BSP,14,1,,,N,,,,,,,
99,Sibudu,675,,64,n,y,,NA,BSP,14,1,,,N,,,,,,,
100,Sibudu,676,,58,y,y,,NA,BSP,14,1,,,N,,,,,,,
101,Sibudu,677,,87,n,n,,NA,BSP,14,1,,,N,,,,,,,
102,Sibudu,678,,78,,,,NA,BSP,14,1,,,N,,,,,,,
103,Sibudu,679,,64,y,y,,NA,BSP,14,1,,,N,,,,,,,
104,Sibudu,680,,45,y,y,,NA,BSP,14,1,,,N,,,,,,,
105,Sibudu,681,,82,n,y,,NA,"Ma,MY,BO",19,6,,,N,,,,,,,
106,Sibudu,682,,76,y,y,,NA,"Ma,MY,BO",19,6,,,N,,,,,,,
107,Sibudu,684,,81,,,,NA,BSP,14,1,,,N,,,,,,,
108,Sibudu,685,,56,y,y,,NA,BSP,14,1,,,N,,,,,,,
109,Sibudu,686,,40,,,,NA,BSP,14,1,,,N,,,,,,,
110,Sibudu,687,,66,n,y,,NA,BSP,14,1,,,N,,,,,,,
111,Sibudu,688,,49,y,y,,NA,Iv/BM,21,8,,,N,,,,,,,
112,Sibudu,689,,58,y,y,,NA,Iv/BM,21,8,,,N,,,,,,,
113,Sibudu,690,,38,y,y,,NA,Iv/BM,21,8,,,N,,,,,,,
114,Sibudu,691,,72,,,removed,NA,Iv/BM,21,8,,,N,,,,,,,
115,Sibudu,800,,95,,,removed,NA,SS,17,4,,,N,,,,,,,
116,Sibudu,827,,85,,,removed,NA,SPCA,15,2,,,N,,,,,,,
117,Sibudu,835,,68,n,n,,NA,"Ma,MY,BO",19,6,,,N,,,,,,,
118,Sibudu,836,,101,,,removed,NA,BL/Mi,16,3,,,N,,,,,,,
119,Sibudu,837,,74,y,y,,NA,"Ma,MY,BO",19,6,,,N,,,,,,,
120,Sibudu,854,? Unfinished,104,,,removed,NA,BSP,14,1,,,N,,,,,,,
121,Sibudu,855,,86,n,y,,NA,BSP,14,1,,,N,,,,,,,
122,Sibudu,856,,86,n,y,,NA,BSP,14,1,,,N,,,,,,,
123,Sibudu,857,? Broken,105,,,removed,NA,BSP,14,1,,,Y,,,,,,,
124,Sibudu,858,,73,n,n,,NA,BSP,14,1,,,N,,,,,,,
125,Sibudu,859,,53,n,y,,NA,BSP,14,1,,,N,,,,,,,
126,Sibudu,860,,29,,,removed,NA,BSP,14,1,,,N,,,,,,,
127,Sibudu,861,,52,n,y,,NA,POX,20,7,,,N,,,,,,,
128,Sibudu,862,,65,n,y,,NA,POX,20,7,,,N,,,,,,,
129,Sibudu,863,,108,,,removed,NA,POX,20,7,,,N,,,,,,,
130,Sibudu,864,,83,,,removed,NA,POX,20,7,,,N,,,,,,,
131,Sibudu,865,,66,,,removed,NA,POX,20,7,,,N,,,,,,,
132,Sibudu,866,,67,n,y,,NA,POX,20,7,,,N,,,,,,,
133,Sibudu,867,,68,y,n,,NA,POX,20,7,,,N,,,,,,,
134,Sibudu,868,? But similar at BC,36,,,removed,NA,POX,20,7,,,N,,,,,,,
135,Sibudu,869,,102,,,removed,NA,POX,20,7,,,N,,,,,,,
136,Sibudu,870,,76,,,removed,NA,POX,20,7,,,N,,,,,,,
137,Sibudu,871,,57,,,,NA,POX,20,7,,,N,,,,,,,
138,Sibudu,872,,47,n,y,,NA,POX,20,7,,,N,,,,,,,
139,Border Cave,4536,,68,y,y,,2WA,Chloe,NA,4,B1,rhyolite,N,D,,M,DR,,,2BS.LR
140,Sibudu,1002,,NA,,y,,NA,SPCA,15,2,,,N,,,,,,,
141,Sibudu,1003,,NA,,y,,NA,SPCA,15,2,,,N,,,,,,,
